City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Kourou,5.1552,-52.6478,80.11,91,100,5.82,GF,2022-02-08 05:03:51,overcast clouds
60,Port Alfred,-33.5906,26.891,74.28,74,28,3.33,ZA,2022-02-08 05:03:51,scattered clouds
61,Jamestown,42.097,-79.2353,26.51,95,99,5.41,US,2022-02-08 04:59:19,overcast clouds
62,Havoysund,70.9963,24.6622,31.08,80,55,13.11,NO,2022-02-08 05:03:52,broken clouds
63,Marsaxlokk,35.8419,14.5431,57.07,87,20,17.27,MT,2022-02-08 05:03:52,few clouds
64,Cape Town,-33.9258,18.4232,65.08,90,37,1.01,ZA,2022-02-08 05:01:39,scattered clouds
65,Iqaluit,63.7506,-68.5145,-5.31,63,100,8.99,CA,2022-02-08 05:00:17,overcast clouds
66,Cidreira,-30.1811,-50.2056,66.0,81,1,7.85,BR,2022-02-08 05:03:53,clear sky
67,Hasaki,35.7333,140.8333,46.62,95,100,15.95,JP,2022-02-08 05:03:53,overcast clouds
68,Yellowknife,62.456,-114.3525,-5.58,92,100,13.09,CA,2022-02-08 05:01:26,overcast clouds
69,Souillac,-20.5167,57.5167,80.98,83,75,11.5,MU,2022-02-08 04:54:20,broken clouds
70,Saskylakh,71.9167,114.0833,-7.78,88,98,10.29,RU,2022-02-08 05:03:54,overcast clouds
71,Ushuaia,-54.8,-68.3,56.12,97,100,4.76,AR,2022-02-08 05:03:31,light rain
72,Arraial Do Cabo,-22.9661,-42.0278,74.39,94,100,13.2,BR,2022-02-08 05:03:55,overcast clouds
73,Komsomolskiy,40.4272,71.7189,40.35,87,100,2.3,UZ,2022-02-08 05:03:55,mist
74,Avarua,-21.2078,-159.775,78.85,83,95,10.36,CK,2022-02-08 05:03:56,overcast clouds
75,Ubata,-14.2139,-39.5228,69.71,99,89,0.74,BR,2022-02-08 05:03:56,overcast clouds
76,Ardon,43.17,44.29,28.53,53,44,2.15,RU,2022-02-08 05:03:56,scattered clouds
77,Barrow,71.2906,-156.7887,-34.92,99,23,7.05,US,2022-02-08 04:54:12,few clouds
78,Nome,64.5011,-165.4064,-20.67,87,7,11.81,US,2022-02-08 04:54:18,clear sky
79,San Cristobal,7.7669,-72.225,66.16,79,88,1.36,VE,2022-02-08 05:02:18,overcast clouds
80,Galle,6.0367,80.217,82.92,67,88,4.99,LK,2022-02-08 05:03:57,overcast clouds
81,Port-Gentil,-0.7193,8.7815,80.28,81,83,9.13,GA,2022-02-08 05:03:58,broken clouds
82,Lebu,-37.6167,-73.65,59.81,84,87,14.34,CL,2022-02-08 05:01:50,overcast clouds
83,Chokurdakh,70.6333,147.9167,-43.85,100,95,4.83,RU,2022-02-08 05:03:58,overcast clouds
84,Kondoa,-4.9,35.7833,63.0,87,100,0.78,TZ,2022-02-08 05:03:59,overcast clouds
85,Usinsk,65.9939,57.5281,7.07,85,100,9.93,RU,2022-02-08 05:03:59,overcast clouds
86,Teya,60.3778,92.6267,-3.98,89,88,3.83,RU,2022-02-08 05:04:00,overcast clouds
87,Lompoc,34.6391,-120.4579,63.12,80,0,3.44,US,2022-02-08 05:04:00,clear sky
88,Carlsbad,33.1581,-117.3506,67.05,28,0,3.0,US,2022-02-08 04:59:48,clear sky
89,Conceicao Do Araguaia,-8.2578,-49.2647,72.55,98,96,3.36,BR,2022-02-08 05:04:01,overcast clouds
90,Mehamn,71.0357,27.8492,25.14,89,74,14.03,NO,2022-02-08 05:03:10,broken clouds
91,Acarau,-2.8856,-40.12,77.13,85,4,6.44,BR,2022-02-08 05:01:32,clear sky
92,Aykhal,66.0,111.5,-19.93,99,96,6.91,RU,2022-02-08 04:58:04,overcast clouds
93,Chulman,56.8479,124.9104,-1.52,93,98,1.36,RU,2022-02-08 05:05:02,overcast clouds
94,Hermanus,-34.4187,19.2345,65.8,87,1,3.18,ZA,2022-02-08 05:04:45,clear sky
95,Pontianak,-0.0333,109.3333,85.98,66,40,4.61,ID,2022-02-08 05:05:03,scattered clouds
96,Tuktoyaktuk,69.4541,-133.0374,-34.13,100,100,6.8,CA,2022-02-08 05:05:04,overcast clouds
97,Parangan,5.0839,119.9383,82.11,71,74,5.73,PH,2022-02-08 05:05:04,moderate rain
98,San Patricio,28.017,-97.5169,55.26,59,17,6.51,US,2022-02-08 04:55:33,few clouds
99,Bluff,-46.6,168.3333,59.81,78,12,15.64,NZ,2022-02-08 05:05:05,few clouds
100,Ca Mau,9.1769,105.15,92.98,43,79,13.62,VN,2022-02-08 05:05:05,broken clouds
101,Singapore,1.2897,103.8501,85.86,74,75,5.75,SG,2022-02-08 05:02:43,broken clouds
102,Muskegon,43.3,-86.1334,25.9,72,100,8.05,US,2022-02-08 05:05:06,overcast clouds
103,Touros,-5.1989,-35.4608,76.1,75,42,9.13,BR,2022-02-08 05:05:06,scattered clouds
104,Kamien Pomorski,53.9685,14.7726,40.5,86,69,18.25,PL,2022-02-08 05:05:07,broken clouds
105,Ouadda,8.0777,22.4007,59.29,18,32,5.99,CF,2022-02-08 05:05:07,scattered clouds
106,Puerto Del Rosario,28.5004,-13.8627,67.68,59,100,2.3,ES,2022-02-08 05:00:32,overcast clouds
107,Omboue,-1.5746,9.2618,77.47,87,77,5.48,GA,2022-02-08 05:05:08,broken clouds
108,Shitanjing,39.2342,106.3439,22.28,55,60,5.03,CN,2022-02-08 05:05:08,broken clouds
109,Schertz,29.5522,-98.2697,47.03,68,0,6.91,US,2022-02-08 05:05:09,clear sky
